listing.garden;listing.suites;listing.bathtub;listing.pricingInfo.yearlyIptu;listing.pricingInfo.monthlyCondoFee;listing.address.neighborhood;listing.totalAreas;listing.pricingInfo.rentalPrice;listing.hottub;listing.sportcourt;listing.soundproofing;listing.furnished;listing.unitsOnTheFloor;listing.unitFloor;listing.bedrooms;listing.parkingSpaces;listing.bathrooms;listing.tenniscourt;listing.pool;listing.partyhall;listing.guestpark;listing.barbgrill;listing.playground;listing.usableAreas;listing.backyard;listing.fireplace;listing.gym;listing.floors;listing.mountainview;listing.sauna;listing.address.zone_Bairros;listing.address.zone_Ilha do Governador;listing.address.zone_Zona Central;listing.address.zone_Zona Norte;listing.address.zone_Zona Oeste;listing.address.zone_Zona Sul;listing.address.zone_normal;imvl_type_apartamentos;imvl_type_casas;imvl_type_casas-de-condominio;imvl_type_casas-de-vila;imvl_type_cobertura;imvl_type_flat;imvl_type_quitinetes;imvl_type_studio
0;1;0;0.012965786804129619;-0.5869765594609307;0.005749235474006117;-0.8748902312468992;2.65;0;0;0;1;-0.3167208285234619;1.189569707001628;1;-1.0557224240444794;5;0;0;0;0;0;0;-0.8610632149155236;0;0;0;2.0556707194179036;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;0;0;-0.17112377789656533;0.6778623940902956;0.10201834862385321;-0.8748902312468992;2.3;0;0;0;1;-0.3167208285234619;-0.41761155080532464;1;-1.0557224240444794;1;0;0;0;0;0;0;-0.8610632149155236;0;0;0;-0.39541774014950715;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;0;0;0.5038712926726494;1.2807689619497136;0.056269113149847096;-0.8430571376313704;4.7;0;0;0;0;-0.3167208285234619;-0.41761155080532464;1;-1.0557224240444794;1;0;0;0;0;0;0;-0.8294241938514297;0;0;0;-0.39541774014950715;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;0;0;0.018544258461726436;1.424117376685519;0.030214067278287463;-0.7793909504003127;2.7;0;0;0;0;-0.3167208285234619;3.118187216369971;1;-0.01652545636674076;1;0;0;0;0;0;0;-0.7661461517232419;0;0;0;-0.39541774014950715;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;0;0;0.001808843488935986;1.6728690375505937;0.10201834862385321;-0.9226398716701925;1.7;0;0;0;0;-0.3167208285234619;1.189569707001628;1;-0.01652545636674076;1;0;0;0;0;0;0;-0.9085217465116645;0;0;0;-0.39541774014950715;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;0;0;-0.0037696281686608302;-0.5574636505447355;0.10201834862385321;-1.0022226057090144;2.0;0;0;0;0;-0.3167208285234619;2.47531471324719;1;-1.0557224240444794;1;0;0;0;0;0;0;-0.9876192991718994;0;0;0;-0.39541774014950715;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;1;0;-0.4054195875156316;0.7284559522323446;0.025321100917431193;-1.0022226057090144;1.4;0;1;0;0;-0.3167208285234619;-0.41761155080532464;1;-0.01652545636674076;1;0;1;1;0;1;1;-0.9876192991718994;0;0;1;-0.39541774014950715;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;0;0;-0.7791771885746183;-1.6494412804439609;0.009174311926605505;-1.0340556993245433;1.4;0;0;0;0;-0.3167208285234619;-0.41761155080532464;1;-0.01652545636674076;1;0;1;1;0;0;0;-1.0192583202359933;0;0;1;-0.39541774014950715;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
0;0;0;-0.7791771885746183;-0.4394120148799543;0.030214067278287463;-1.0340556993245433;2.0;0;0;0;0;1.3777770596828869;-0.41761155080532464;1;-1.0557224240444794;1;0;0;0;0;0;0;-1.0192583202359933;0;0;0;2.0556707194179036;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;1;0;0.007387315146532803;-0.7556217532677609;0.023975535168195717;-0.7316413099770195;2.8;0;0;0;0;-0.3167208285234619;2.7967509648085804;1;-1.0557224240444794;1;0;0;0;0;0;0;-0.718687620127101;0;0;0;1.610018272223829;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;0;0;-0.053975873087032174;-0.08104097804044018;0.012966360856269113;-0.9544729652857212;2.1;0;1;0;0;3.0722749478892357;2.7967509648085804;1;-0.01652545636674076;1;0;1;1;0;0;1;-0.9401607675757585;0;0;1;1.8328444958208663;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
0;0;0;0.05759356006490415;-0.8188637009453222;0.030214067278287463;-0.8748902312468992;2.7;0;0;0;0;1.0388774820416171;1.5110059585630184;1;-0.01652545636674076;5;0;0;0;0;0;0;-0.8610632149155236;0;0;0;2.0556707194179036;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;0;0;0.36998797289032587;1.0067205220136144;0.030214067278287463;-0.715724763169255;2.2;0;0;0;0;-0.3167208285234619;0.8681334554402375;1;-0.01652545636674076;5;0;0;0;0;0;0;-0.702868109595054;0;0;0;1.610018272223829;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
1;0;0;-0.41657653083082524;0.003281618862974903;0.019327217125382264;-0.7953074972080771;1.25;0;1;0;0;2.394475792606696;2.1538784616857996;1;-0.01652545636674076;1;0;1;1;0;0;1;-0.7819656622552889;0;0;0;1.610018272223829;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;0;0;-0.4723612474067934;-0.16536357494385528;0.026788990825688072;-1.0340556993245433;1.3;0;1;0;0;-0.3167208285234619;-0.41761155080532464;1;-0.01652545636674076;1;0;1;1;0;1;1;-1.0192583202359933;0;0;1;-0.39541774014950715;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;1;0;-0.32174251265167936;-0.5869765594609307;0.038409785932721714;-0.8589736844391348;1.5;0;0;0;0;-0.3167208285234619;1.5110059585630184;1;-1.0557224240444794;5;0;0;0;0;0;0;-0.8452437043834766;0;0;0;-0.39541774014950715;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
0;0;0;-0.45562583243400295;-0.650218507138492;0.015412844036697248;-1.018139152516779;1.3;0;0;0;0;-0.3167208285234619;-0.41761155080532464;1;-0.01652545636674076;1;0;0;1;0;0;0;-1.0034388097039464;0;0;0;-0.39541774014950715;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
0;0;0;0.8385795921284585;0.2562494095732202;0.00856269113149847;-0.6679751227459618;3.5;0;0;0;0;-0.3167208285234619;-0.41761155080532464;1;-0.01652545636674076;1;0;0;0;0;0;0;-0.6554095779989131;0;0;0;-0.39541774014950715;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;0;0;0.07990744669529141;-0.4141152358089298;0.005137614678899082;-0.7953074972080771;3.2;0;0;0;1;-0.3167208285234619;-0.41761155080532464;1;-1.0557224240444794;1;0;0;0;0;0;0;-0.7819656622552889;0;0;0;-0.39541774014950715;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;1;0;-0.08744670303261308;-0.3129281195248317;0.10201834862385321;-0.9385564184779569;2.99;0;0;0;0;-0.3167208285234619;-0.41761155080532464;1;-1.0557224240444794;5;0;0;0;0;0;0;-0.9243412570437115;0;0;0;-0.39541774014950715;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;1;0;-0.7791771885746183;-0.0051506408273666055;0.10201834862385321;-0.8748902312468992;3.8;0;0;0;1;3.0722749478892357;0.22526095231745644;1;-1.0557224240444794;5;0;0;0;0;0;0;-0.8610632149155236;0;0;0;2.0556707194179036;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;1;0;0.10779980498327549;0.2562494095732202;0.009418960244648318;-0.7953074972080771;3.5;0;0;0;1;-0.3167208285234619;-0.41761155080532464;1;-1.0557224240444794;5;0;0;0;0;0;0;-0.7819656622552889;0;0;0;-0.39541774014950715;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;0;0;0.38672338786311633;1.3102818708659087;0.056269113149847096;-0.8430571376313704;3.2;0;0;0;1;-0.3167208285234619;-0.41761155080532464;1;-1.0557224240444794;1;0;0;0;0;0;0;-0.8294241938514297;0;0;0;-0.39541774014950715;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;1;0;-0.4333119458036157;2.1535078399000596;0.10201834862385321;-1.0340556993245433;1.405;0;0;0;0;-0.3167208285234619;-0.41761155080532464;1;-1.0557224240444794;1;0;0;0;0;0;0;-1.0192583202359933;0;0;0;-0.39541774014950715;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;0;0;-0.03166198645664491;1.0868269890718587;0.10201834862385321;-0.9385564184779569;2.0;0;0;0;0;1.0388774820416171;0.22526095231745644;1;-1.0557224240444794;1;0;0;0;0;0;0;-0.9243412570437115;0;0;0;1.610018272223829;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;0;0;0.012965786804129619;0.10868486499224377;0.10201834862385321;-0.8748902312468992;2.5;0;0;0;0;3.0722749478892357;-0.41761155080532464;1;-1.0557224240444794;1;0;0;0;0;0;0;-0.8610632149155236;0;0;0;0.7187133778356796;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;0;0;-0.3161640409940825;0.05387517700502396;0.10201834862385321;-1.1454715269788942;2.3;0;0;0;0;-0.3167208285234619;-0.41761155080532464;1;-1.0557224240444794;1;0;0;0;0;0;0;-1.129994893960322;0;0;0;-0.39541774014950715;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;0;0;-0.7791771885746183;-1.8771122920831815;0.0023241590214067276;-0.8748902312468992;1.2;0;0;0;0;-0.3167208285234619;-0.0961752992439341;1;-0.01652545636674076;1;0;0;0;0;0;0;-0.8610632149155236;0;0;0;-0.39541774014950715;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
0;0;0;-0.12091753297819396;0.4501913824510749;0.012966360856269113;-0.6202254823226686;1.6;0;0;0;0;-0.3167208285234619;1.832442210124409;1;-1.0557224240444794;1;0;0;0;0;0;0;-0.6079510464027722;0;0;0;-0.39541774014950715;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
0;1;0;-0.46120430409159974;0.2562494095732202;0.025321100917431193;-0.9385564184779569;1.92;0;0;0;1;-0.3167208285234619;-0.41761155080532464;1;-0.01652545636674076;1;0;0;0;0;0;0;-0.9243412570437115;0;0;0;-0.39541774014950715;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;0;0;-0.7791771885746183;-0.8821056486228835;0.012966360856269113;-1.0340556993245433;1.2;0;0;0;0;3.0722749478892357;3.118187216369971;1;-1.0557224240444794;1;0;0;0;0;0;0;-1.0192583202359933;0;0;0;1.8328444958208663;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
0;0;0;0.364409501232729;1.4789270646727388;0.056269113149847096;-0.9703895120934857;2.5;0;0;0;0;1.7166766373241567;-0.41761155080532464;1;-1.0557224240444794;1;0;0;0;0;0;0;-0.9559802781078054;0;0;0;1.1643658250297542;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;0;0;-0.29385015436369527;-0.05996032881458641;0.023975535168195717;-1.0340556993245433;2.0;0;0;0;0;-0.3167208285234619;-0.41761155080532464;1;-1.0557224240444794;1;0;0;0;0;0;0;-1.0192583202359933;0;0;0;-0.39541774014950715;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
1;1;0;-0.7680202452594247;2.575120824417135;0.058226299694189604;-0.636142029130433;3.0;0;1;0;1;-0.3167208285234619;4.725368474176924;1;-0.01652545636674076;5;0;1;1;0;1;1;-0.6237705569348192;0;0;1;-0.39541774014950715;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;0;0;-0.332899455966873;0.10868486499224377;0.038409785932721714;-0.636142029130433;1.4;0;0;0;0;1.7166766373241567;0.8681334554402375;1;-0.01652545636674076;5;0;0;1;0;0;1;-0.6237705569348192;0;0;0;1.3871920486267917;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
0;0;0;1.3573774562849623;1.8162174522863992;0.056269113149847096;-0.3973938270139668;4.5;0;0;0;0;-0.3167208285234619;-0.41761155080532464;1;-1.0557224240444794;5;0;0;0;0;0;0;-0.3864778989541147;0;0;0;-0.39541774014950715;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;1;0;-0.053975873087032174;-2.0626220052706947;0.025321100917431193;-1.1136384333633653;3.7;0;0;0;1;-0.3167208285234619;-0.41761155080532464;1;-0.01652545636674076;1;0;0;0;0;0;0;-1.0983558728962282;0;0;1;-0.39541774014950715;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;0;0;-0.7791771885746183;-1.0085895439780062;0.005382262996941896;-0.3973938270139668;1.1;0;0;0;0;-0.3167208285234619;-0.41761155080532464;1;-0.01652545636674076;1;0;0;0;0;0;0;-0.3864778989541147;0;0;0;-0.39541774014950715;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
0;1;0;-0.29385015436369527;-0.839944350171176;0.023975535168195717;-1.177304620594423;1.4;0;0;0;0;2.394475792606696;1.5110059585630184;1;-1.0557224240444794;1;0;0;0;0;0;0;-1.161633915024416;0;0;0;1.610018272223829;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;0;0;-0.7791771885746183;-1.219396036236544;0.007217125382262997;-0.7953074972080771;2.0;0;0;0;1;-0.3167208285234619;-0.41761155080532464;1;-0.01652545636674076;1;0;1;0;0;0;0;-0.7819656622552889;0;0;0;-0.39541774014950715;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;1;0;-0.7735987169170214;-0.0051506408273666055;0.019571865443425075;-0.7634744035925483;1.2;0;0;0;0;-0.3167208285234619;-0.41761155080532464;1;-0.01652545636674076;5;0;0;0;0;0;0;-0.7503266411911949;0;0;0;-0.39541774014950715;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;0;0;-0.22133002281493666;-0.16536357494385528;0.017003058103975534;-0.8908067780546636;1.55;0;0;0;0;-0.3167208285234619;-0.41761155080532464;1;-1.0557224240444794;1;0;0;0;0;0;0;-0.8768827254475706;0;0;0;-0.39541774014950715;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
0;0;0;-0.7791771885746183;-0.7218927145063948;0.004525993883792049;-0.8748902312468992;1.7;0;0;0;0;-0.3167208285234619;-0.41761155080532464;1;-0.01652545636674076;1;0;0;0;0;0;0;-0.8610632149155236;0;0;0;-0.6182439637465444;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;0;0;-0.3384779276244698;0.4544075122962456;0.012966360856269113;-0.9863060589012501;1.3;0;0;0;0;2.0555762149654266;0.22526095231745644;1;-0.01652545636674076;1;0;0;1;0;0;1;-0.9717997886398524;0;0;0;2.278496943014941;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
0;0;0;-0.7791771885746183;-0.13585066602766;0.017003058103975534;-0.7953074972080771;1.1;0;0;0;0;2.394475792606696;1.5110059585630184;1;-1.0557224240444794;5;0;0;0;0;0;0;-0.7819656622552889;0;0;0;1.1643658250297542;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
0;0;0;-0.1655453062389685;-0.03887967958873264;0.10201834862385321;-1.0340556993245433;2.0;0;0;0;1;-0.3167208285234619;-0.41761155080532464;1;-1.0557224240444794;1;0;0;0;0;0;0;-1.0192583202359933;0;0;0;-0.39541774014950715;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;1;0;-0.3831057008852443;1.2048786247366399;0.058226299694189604;-1.0022226057090144;1.17;0;0;0;0;-0.3167208285234619;-0.41761155080532464;1;-0.01652545636674076;1;0;1;0;0;1;0;-0.9876192991718994;0;0;0;-0.39541774014950715;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;1;0;0.22494770979280865;-0.12320227649214772;0.012966360856269113;-0.9544729652857212;2.4;0;0;0;1;4.766772836095585;2.47531471324719;1;-1.0557224240444794;1;0;1;1;0;0;0;-0.9559802781078054;0;0;1;1.610018272223829;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
0;0;0;-0.19901613618454939;0.1339816440632683;0.10201834862385321;-1.0340556993245433;1.9;0;0;0;0;-0.3167208285234619;-0.41761155080532464;1;-0.01652545636674076;1;0;0;0;0;0;0;-1.0192583202359933;0;0;0;-0.39541774014950715;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;0;0;0.046436616749710516;-0.18644422416970904;0.005382262996941896;-0.7475578567847839;1.649;0;0;0;0;-0.3167208285234619;-0.41761155080532464;1;-0.01652545636674076;5;0;0;0;0;0;0;-0.734507130659148;0;0;0;-0.39541774014950715;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
